player Name,matched_played,total_point,season
Pardeep Narwal,26,369,season 5
Rohit Kumar,22,231,season 5
Ajay Thakur,22,222,season 5
Monu Goyat,26,202,season 5
Rahul Chaudhari,22,193,season 5
Maninder Singh,21,192,season 5
Deepak Niwas Hooda,24,186,season 5
Nitin Tomar,20,177,season 5
Sachin,24,173,season 5
Rishank Devadiga,21,170,season 5
Anup Kumar,21,135,season 5
K. Prapanjan,22,124,season 5
Pawan Kumar Kadian,21,122,season 5
Kashiling Adake,20,122,season 5
Wazir Singh,21,120,season 5
Nilesh Salunke,21,105,season 5
Meraj Sheykh,20,104,season 5
Shrikant Jadhav,19,98,season 5
Abolfazl Maghsodloumahali,19,97,season 5
Rajesh Mondal,24,91,season 5
Jang Kun Lee,21,89,season 5
Ajay Kumar,22,89,season 5
Deepak Narwal,16,87,season 5
Sandeep Narwal,21,85,season 5
Nitin Rawal,21,85,season 5
Surender Nada,21,83,season 5
Prashanth Kumar Rai,16,80,season 5
PO Surjeet Singh,24,79,season 5
Deepak Kumar Dahiya,16,78,season 5
Sukesh Hegde,18,77,season 5
Rohit Baliyan,17,74,season 5
Vishal Bhardwaj,22,71,season 5
Jaideep,26,71,season 5
Surender Singh,18,70,season 5
Girish Maruti Ernak,21,69,season 5
Tushar Patil,17,67,season 5
Jasvir Singh,15,66,season 5
Abozar Mohajermighani,24,66,season 5
Ran Singh,23,64,season 5
Vijay,19,64,season 5
CPO Surjeet Singh,17,63,season 5
Mahendra Ganesh Rajput,17,62,season 5
Amit Hooda,22,61,season 5
Vikash Khandola,9,58,season 5
Sunil Kumar,24,58,season 5
Surender Singh,22,58,season 5
Mahender Singh,22,58,season 5
Fazel Atrachali,24,57,season 5
Ravinder Pahal,19,54,season 5
Manjeet Chhillar,15,52,season 5
Chandran Ranjit,11,51,season 5
Monu,19,49,season 5
Vinod Kumar,21,48,season 5
Parvesh Bhainswal,24,48,season 5
Kuldeep Singh,20,47,season 5
Mohsen Maghsoudloujafari,16,47,season 5
Nitesh Kumar,19,47,season 5
Jeeva Kumar,22,44,season 5
Mohit Chhillar,20,42,season 5
Mahesh Goud,21,42,season 5
Vinod Kumar,19,41,season 5
Darshan J.,20,41,season 5
Darshan Kadian,16,40,season 5
Shrikant Tewthia,23,40,season 5
Vishal Mane,26,39,season 5
Sombir,17,39,season 5
Rohit Gulia,19,38,season 5
Shabeer Bappu,12,38,season 5
C. Arun,20,36,season 5
R. Sriram,11,36,season 5
Jawahar Dagar,18,35,season 5
Vikas Kumar,14,35,season 5
Anand Patil,19,33,season 5
Sagar B Krishna,17,33,season 5
Ashish Kumar,20,32,season 5
Kuldeep Singh,16,32,season 5
Sunil Jaipal,13,31,season 5
Sidharth,21,31,season 5
Vineet Sharma,18,30,season 5
Somvir Shekhar,22,30,season 5
Ravi Kumar,23,30,season 5
Dong Geon Lee,17,29,season 5
D. Pradap,16,29,season 5
Farhad Rahimi Milaghardan,18,28,season 5
Bhupender Singh,17,28,season 5
Satpal,10,28,season 5
Rajesh Narwal,16,27,season 5
Vikash,19,26,season 5
Dharmaraj Cheralathan,18,25,season 5
Sunil,18,25,season 5
Harish Naik,14,24,season 5
Gurvinder Singh,9,24,season 5
Nilesh Shinde,15,24,season 5
Rohit Rana,21,24,season 5
Rakesh Singh Kumar,19,24,season 5
Rakesh Kumar,10,23,season 5
Ajit Singh,11,23,season 5
Sachin Shingade,26,22,season 5
Manish,23,22,season 5
Suresh Kumar,11,22,season 5
Rinku Narwal,13,22,season 5
Akshay Jadhav,10,21,season 5
Ziaur Rahman,16,20,season 5
Hadi Oshtorak,16,20,season 5
Rakesh Narwal,6,18,season 5
Sunil Siddhgavali,12,16,season 5
Pankaj,13,16,season 5
Elangeshwaran R,5,16,season 5
M. Thivakaran,9,16,season 5
Viraj Vishnu Landge,19,16,season 5
More GB,6,16,season 5
Santhapanaselvam,10,15,season 5
Rakshith,6,14,season 5
Neeraj Kumar,17,13,season 5
Rohit Kumar Choudary,11,13,season 5
Swapnil Dilip Shinde,13,13,season 5
Vikas Jaglan,13,13,season 5
Nitin Madane,12,13,season 5
Santhosh B.S,9,12,season 5
Ashish Chhokar,5,12,season 5
N. Renjith,11,12,season 5
Bajirao Hodage,12,11,season 5
Vishal,5,11,season 5
Yatharth Deshwal,6,11,season 5
Pawan Kumar Sehrawat,9,10,season 5
Hadi Tajik,9,9,season 5
Tapas Pal,5,9,season 5
Joginder Singh Narwal,8,9,season 5
D. Suresh Kumar,5,8,season 5
Ravi Dalal,5,8,season 5
Mohan Raman G,4,8,season 5
Virender Wazir Singh,3,8,season 5
Deepak Yadav,4,8,season 5
Kuldeep Singh,5,8,season 5
Deepak Kumar Rathee,6,7,season 5
Shubham Ashok Palkar,8,7,season 5
Preetam Chhillar,16,7,season 5
Sachin Kumar,9,7,season 5
Manoj Dhull,9,6,season 5
Vinoth Kumar,4,6,season 5
Mayur Shivtarkar,5,6,season 5
Rahul Kumar,10,6,season 5
Rahul Choudhary,5,6,season 5
Vijay Kumar,8,6,season 5
Vikash,4,5,season 5
Gurvinder Singh,5,5,season 5
Jeeva Gopal,6,5,season 5
Vijin Thangadurai,12,4,season 5
Selvamani K,3,4,season 5
Sanket Chavan,7,4,season 5
