player Name,matched_played,total_point,season
Rahul Chaudhari,16,150,season 4
Pardeep Narwal,16,133,season 4
Deepak Niwas Hooda,16,130,season 4
Rohit Kumar,14,100,season 4
Kashiling Adake,13,89,season 4
Jasvir Singh,14,88,season 4
Rajesh Narwal,16,85,season 4
Anup Kumar,14,82,season 4
Meraj Sheykh,14,75,season 4
Rakesh Kumar,14,70,season 4
Rishank Devadiga,14,70,season 4
Manjeet Chhillar,12,68,season 4
Sandeep Narwal,16,66,season 4
Jang Kun Lee,11,65,season 4
Ajay Thakur,16,64,season 4
Monu Goyat,13,63,season 4
Nilesh Salunke,15,62,season 4
Ajay Kumar,15,61,season 4
Rajesh Mondal,15,59,season 4
Nitin Madane,13,53,season 4
Amit Hooda,16,53,season 4
Fazel Atrachali,16,52,season 4
Mohit Chhillar,14,50,season 4
Selvamani K,13,45,season 4
Sachin Shingade,14,44,season 4
Kuldeep Singh,15,42,season 4
Dharmaraj Cheralathan,14,41,season 4
Joginder Singh Narwal,16,38,season 4
Ravinder Pahal,14,37,season 4
Ashish Kumar,14,37,season 4
Surender Nada,13,37,season 4
CPO Surjeet Singh,10,37,season 4
PO Surjeet Singh,14,37,season 4
Sandeep Kumar Dhull,12,35,season 4
Shabeer Bappu,12,35,season 4
Nitin Tomar,12,34,season 4
Ran Singh,16,33,season 4
Sonu Narwal,11,32,season 4
Vishal Mane,14,31,season 4
Vinod Kumar,12,30,season 4
Nilesh Shinde,12,28,season 4
Jeeva Kumar,14,26,season 4
Girish Maruti Ernak,12,25,season 4
Abolfazl Maghsodloumahali,9,25,season 4
Suresu Kumar,11,23,season 4
Bajirao Hodage,14,22,season 4
Mahipal Narwal,14,22,season 4
Somvir Shekhar,16,22,season 4
Pawan Kumar Kadian,9,21,season 4
Vinod Kumar,9,20,season 4
Prashanth Kumar Rai,9,19,season 4
D. Suresh Kumar,14,19,season 4
Jasmer Singh Gulia,13,19,season 4
Sunil,10,17,season 4
Yogesh Hooda,5,16,season 4
S Mahalingam,11,16,season 4
Anil Kumar,9,16,season 4
Tushar Patil,8,15,season 4
C. Arun,14,15,season 4
Deepak Kumar Dahiya,7,13,season 4
Hadi Oshtorak,7,13,season 4
Deepak Narwal,6,13,season 4
Amit Singh Chhillar,9,13,season 4
Ravi Dalal,6,13,season 4
K. Prapanjan,11,12,season 4
Surender Singh,11,11,season 4
Surjeet Narwal,5,11,season 4
Pawan Kumar Sehrawat,10,11,season 4
Sanket Chavan,6,11,season 4
Prashant Chavan,9,10,season 4
Parmod Narwal,8,9,season 4
Sumit Singh,5,9,season 4
Athul MS,4,8,season 4
Vinoth Kumar,3,8,season 4
Umesh Mhatre,2,8,season 4
D. Gopu,5,7,season 4
Sukesh Hegde,9,7,season 4
Shrikant Jadhav,5,7,season 4
Vishal Bhardwaj,2,7,season 4
Vikash Kumar,6,6,season 4
