player Name,matched_played,total_point,season
Kashiling Adake,14,117,season 2
Manjeet Chhillar,16,107,season 2
Rahul Chaudhari,14,107,season 2
Deepak Niwas Hooda,15,96,season 2
Rajesh Narwal,14,87,season 2
Sandeep Narwal,16,83,season 2
Anup Kumar,14,81,season 2
Ajay Thakur,13,80,season 2
Jasvir Singh,13,74,season 2
Sandeep Kandola,16,70,season 2
Wazir Singh,11,67,season 2
Sukesh Hegde,13,64,season 2
Ravinder Pahal,14,64,season 2
Rohit Kumar Choudary,14,64,season 2
Kuldeep Singh,14,62,season 2
Deepak Narwal,16,61,season 2
Dharmaraj Cheralathan,15,61,season 2
Prashanth Kumar Rai,15,58,season 2
Rishank Devadiga,13,58,season 2
Mahendra Ganesh Rajput,12,56,season 2
Sonu Narwal,11,51,season 2
Jang Kun Lee,14,50,season 2
Gurvinder Singh,16,49,season 2
Ravi Dalal,11,47,season 2
Shabeer Bappu,10,47,season 2
Ran Singh,14,44,season 2
Surender Nada,14,44,season 2
Mohit Chhillar,14,42,season 2
Pravin Niwale,8,42,season 2
Sunil Jaipal,10,40,season 2
Jeeva Kumar,13,39,season 2
Meraj Sheykh,15,38,season 2
Ravi Kumar,13,37,season 2
Somvir Shekhar,14,35,season 2
Rajesh Mondal,15,34,season 2
Nilesh Shinde,12,30,season 2
Bhupender Singh,11,30,season 2
Joginder Singh Narwal,14,30,season 2
D. Suresh Kumar,16,30,season 2
Girish Maruti Ernak,13,27,season 2
Pradeep Kumar,6,26,season 2
Vishal Mane,14,26,season 2
Amit Hooda,12,26,season 2
Sunil,9,24,season 2
Sachin Khambe,8,24,season 2
Mahipal Narwal,9,21,season 2
Rakesh Narwal,11,21,season 2
Manoj Kumar,14,20,season 2
Shrikant Tewthia,9,19,season 2
Rakesh Singh Kumar,13,19,season 2
Dinesh Kumar,8,19,season 2
Rajaguru Subramanian,12,18,season 2
Rakesh Kumar,4,17,season 2
Rohit Rana,10,17,season 2
Dadaso Balaso Awad,7,17,season 2
Tae Deok Eom,8,16,season 2
Jitesh Joshi,5,16,season 2
Pawan Kumar Kadian,10,16,season 2
Sanjay Kumar,7,16,season 2
Tushar Patil,6,15,season 2
Isac Antony,7,14,season 2
Selvamani K,10,14,season 2
Yogesh Hooda,4,13,season 2
Kedar Lal,9,13,season 2
Ashish Chhokar,6,13,season 2
Vijin Thangadurai,7,13,season 2
Manoj Dhull,7,13,season 2
Bajirao Hodage,7,13,season 2
Shyam Kumar Sah,7,13,season 2
Amit Singh Chhillar,6,12,season 2
Amit Om Prakash Rathi,5,12,season 2
Deepak Dhull,8,12,season 2
Rohit Baliyan,5,12,season 2
Fazel Atrachali,5,12,season 2
C. Arun,8,11,season 2
Sachin Vittala,4,11,season 2
Vijender Singh,7,11,season 2
Gangadhari Mallesh,10,11,season 2
Kalimuthu Balamahendran,6,11,season 2
Prashant Chavan,11,11,season 2
Preetam Chhillar,12,10,season 2
Rupesh Tomar,6,10,season 2
G.S. Manikandan,13,10,season 2
Vineet Sharma,8,10,season 2
Pardeep Narwal,6,9,season 2
Vikas Kale,8,9,season 2
D. Gopu,7,9,season 2
Surender Singh,2,8,season 2
Amit Kumar Tomar,9,8,season 2
Harvinder Singh,4,8,season 2
